ENTRADA DADES FORMULARIS,
PRESSUPOST MATRICER,
DATA ENTREGA PLANNING MATRIU,
DATA ENTREGA LAYOUT MATRIU,
DATA FOTs MATRICER,
DATA PROBA A SOME MATRICER (PPAP),
CONDICIONS PAGAMENT A MATRICER,
INCOTERMS MATRIU,
TOOL LIFETIME (Unitats),
IMPORT COMANDA CLIENT,
CONDICIONS DE PAGAMENT DE CLIENT,
TIPUS DE PREMSA,
LOT PRODUCCIÓ INFORMAT A CLIENT,
REFERÈNCIA SOME 1,
REFERÈNCIA SOME 2,
INDEX REFERÈNCIA SOME 1,
INDEX REFERÈNCIA SOME 2,
COMPONENT 5,
FLOW CHART,
JERARQUIA,
Nº MATRIU SOME,
Nº ASSET de CLIENT  (EN LA COMANDA),
Nº COMANDA CLIENT ,
PRESSUPOST MATRICER,
DATA ENTREGA PLANNING MATRIU,
DATA ENTREGA LAYOUT MATRIU,
DATA FOTs MATRICER,
DATA PROBA A SOME MATRICER (PPAP),
CONDICIONS PAGAMENT A MATRICER,
INCOTERMS MATRIU,
TOOL LIFETIME (Unitats),
IMPORT COMANDA CLIENT,
CONDICIONS DE PAGAMENT DE CLIENT,
TIPUS DE PREMSA,
LOT PRODUCCIÓ INFORMAT A CLIENT,
REFERÈNCIA SOME 1,
REFERÈNCIA SOME 2,
INDEX REFERÈNCIA SOME 1,
INDEX REFERÈNCIA SOME 2,
COMPONENT COMPRA ,
COMPONENT 1,
MIDES (SI APLICA),
REF. SOME (SI APLICA),
LOT MÍNIM,
PLÀNOL (SI APLICA),
COMPONENT 2,
MIDES (SI APLICA),
REF. SOME (SI APLICA),
LOT MÍNIM,
PLÀNOL (SI APLICA),
COMPONENT 3,
MIDES (SI APLICA),
REF. SOME (SI APLICA),
LOT MÍNIM,
PLÀNOL (SI APLICA),
COMPONENT 4,
MIDES (SI APLICA),
REF. SOME (SI APLICA),
LOT MÍNIM,
PLÀNOL (SI APLICA),
DATA PRIMERES MOSTRES  F.O.T A CLIENT,W34/24
QUANTITAT PECES F.O.T. A CLIENT,50
DATA ENTREGA PECES PPAP A CLIENT,W46
QUANTITAT PECES PPAP A CLIENT,450
S.O.P. CLIENT,2024-12-01 00:00:00
E.O.P. CLIENT,2030-12-01 00:00:00
M.O.Q - INFORMAT A CLIENT,9400
TEMPS ESTIMAT CANVI DE RULL,20 '
PES ESTIMAT DE RULL,2000 Kgr
RESPONSABLE PROJECTE - SOMEKSW,Iwona Krol
RESPONSABLE QUALITAT - SOME SA,Frederic Gonzalez
RESPONSABLE QUALITAT - SOMEKSW,Adrian Deka
RESPONSABLE DE PROCESSOS - SOME SA,Guillem Senmartí
RESPONSABLE DE PROCESSOS - SOMEKSW,
RESPONSABLE DE MATRICERIA - SOME SA,Marc Anglada
RESPONSABLE DE MATRICERIA - SOMEKSW,Arkadiusz Wisniewski 
RESPONSABLE PRODUCCIÓ SOME - SOME SA,Eva Bertran 
RESPONSABLE PRODUCCIÓ - SOMEKSW,Ewelina Cygan
RESPONSABLE COMPRES CLIENT,Eduard Dragoi
RESPONSABLE DISSENY CLIENT,Tudor Gogescu
RESPONSABLE QUALITAT CLIENT (SQA),Alexandru Dranga
RESPONSABLE QUALITAT CLIENT (SDE),
DRAWINGS RELEASED,YES
FACTIBLITAT SIGNADA AMB CLIENT,YES
NORMES I ESTÀNDARDS UPDATED,YES
ESPECIFICACIONS GENERALS DISPONIBLES,YES
ESPECIFICACIONS PRODUCTE DISPONIBLES,YES
CONTRACT REVIEW (Si aplica),YES
Es necessàri un nou embalatge?,NO
\\Server\some\Projectes en curs\AUTOLIV\666429400_666429500 - BRACKET ( ET i IK ),
DRAWINGS RELEASED,
FACTIBLITAT SIGNADA AMB CLIENT,
NORMES I ESTÀNDARDS UPDATED,
ESPECIFICACIONS GENERALS DISPONIBLES,
ESPECIFICACIONS PRODUCTE DISPONIBLES,
CONTRACT REVIEW (Si aplica),
TEMPS ESTIMAT CANVI DE RULL,
PES ESTIMAT DE RULL,
DRAWINGS RELEASED,
FACTIBLITAT SIGNADA AMB CLIENT,
NORMES I ESTÀNDARDS UPDATED,
ESPECIFICACIONS GENERALS DISPONIBLES,
ESPECIFICACIONS PRODUCTE DISPONIBLES,
CONTRACT REVIEW (Si aplica),
TEMPS ESTIMAT CANVI DE RULL,
PES ESTIMAT DE RULL,
DRAWINGS RELEASED,
FACTIBLITAT SIGNADA AMB CLIENT,
NORMES I ESTÀNDARDS UPDATED,
ESPECIFICACIONS GENERALS DISPONIBLES,
ESPECIFICACIONS PRODUCTE DISPONIBLES,
CONTRACT REVIEW (Si aplica),
TEMPS ESTIMAT CANVI DE RULL,
PES ESTIMAT DE RULL,
DRAWINGS RELEASED,
FACTIBLITAT SIGNADA AMB CLIENT,
NORMES I ESTÀNDARDS UPDATED,
ESPECIFICACIONS GENERALS DISPONIBLES,
ESPECIFICACIONS PRODUCTE DISPONIBLES,
CONTRACT REVIEW (Si aplica),
TEMPS ESTIMAT CANVI DE RULL,
PES ESTIMAT DE RULL,
DRAWINGS RELEASED,
FACTIBLITAT SIGNADA AMB CLIENT,
NORMES I ESTÀNDARDS UPDATED,
ESPECIFICACIONS GENERALS DISPONIBLES,
ESPECIFICACIONS PRODUCTE DISPONIBLES,
CONTRACT REVIEW (Si aplica),
TEMPS ESTIMAT CANVI DE RULL,
PES ESTIMAT DE RULL,
